Actual,Predicted,Mean Absolute Error
66.0,65.99,0.010000000000005116
69.0,69.0,0.0
56.0,56.03,-0.030000000000001137
65.0,65.24,-0.23999999999999488
48.0,48.1,-0.10000000000000142
62.0,62.01,-0.00999999999999801
91.0,91.01,-0.010000000000005116
92.0,92.01,-0.010000000000005116
72.0,72.0,0.0
57.0,56.95,0.04999999999999716
52.0,51.85,0.14999999999999858
32.0,32.13,-0.13000000000000256
72.0,72.47,-0.46999999999999886
34.0,34.64,-0.6400000000000006
58.0,48.32,9.68
62.0,62.0,0.0
39.0,39.48,-0.4799999999999969
85.0,85.0,0.0
78.0,78.0,0.0
70.0,70.0,0.0
73.0,73.01,-0.010000000000005116
41.0,41.12,-0.11999999999999744
44.0,44.22,-0.21999999999999886
81.0,80.65,0.3499999999999943
71.0,70.92,0.0799999999999983
91.0,90.99,0.010000000000005116
94.0,93.59,0.4099999999999966
44.0,43.94,0.060000000000002274
32.0,32.14,-0.14000000000000057
69.0,69.0,0.0
37.0,36.36,0.6400000000000006
59.0,59.02,-0.020000000000003126
29.0,28.7,0.3000000000000007
79.0,78.84,0.1599999999999966
29.0,28.73,0.2699999999999996
71.0,71.0,0.0
54.0,54.0,0.0
73.0,72.27,0.730000000000004
75.0,75.0,0.0
31.0,30.29,0.7100000000000009
42.0,43.24,-1.240000000000002
82.0,82.0,0.0
37.0,37.67,-0.6700000000000017
56.0,56.0,0.0
60.0,60.0,0.0
92.0,92.03,-0.030000000000001137
83.0,83.06,-0.060000000000002274
68.0,68.1,-0.09999999999999432
70.0,69.82,0.18000000000000682
85.0,85.0,0.0
77.0,77.0,0.0
61.0,61.03,-0.030000000000001137
46.0,46.07,-0.07000000000000028
67.0,66.98,0.01999999999999602
33.0,32.44,0.5600000000000023
44.0,43.49,0.509999999999998
81.0,81.0,0.0
57.0,57.0,0.0
42.0,40.49,1.509999999999998
77.0,77.0,0.0
41.0,40.99,0.00999999999999801
56.0,55.44,0.5600000000000023
68.0,68.0,0.0
66.0,65.99,0.010000000000005116
44.0,43.37,0.6300000000000026
85.0,85.0,0.0
62.0,61.72,0.28000000000000114
51.0,51.01,-0.00999999999999801
76.0,76.15,-0.15000000000000568
41.0,40.6,0.3999999999999986
30.0,29.5,0.5
88.0,88.0,0.0
60.0,60.02,-0.020000000000003126
81.0,79.39,1.6099999999999994
89.0,89.03,-0.030000000000001137
69.0,69.0,0.0
52.0,52.0,0.0
30.0,47.62,-17.619999999999997
45.0,45.19,-0.18999999999999773
20.0,20.95,-0.9499999999999993
75.0,75.0,0.0
59.0,58.99,0.00999999999999801
47.0,47.3,-0.29999999999999716
41.0,41.08,-0.0799999999999983
66.0,66.0,0.0
81.0,81.0,0.0
70.0,70.0,0.0
53.0,53.81,-0.8100000000000023
60.0,60.0,0.0
48.0,53.37,-5.369999999999997
37.0,36.88,0.11999999999999744
32.0,31.96,0.03999999999999915
38.0,38.25,-0.25
63.0,63.0,0.0
90.0,90.0,0.0
29.0,28.84,0.16000000000000014
74.0,74.0,0.0
62.0,62.0,0.0
70.0,69.56,0.4399999999999977
64.0,64.02,-0.01999999999999602
59.0,59.0,0.0
60.0,60.82,-0.8200000000000003
61.0,60.97,0.030000000000001137
36.0,40.5,-4.5
17.0,19.54,-2.539999999999999
41.0,41.31,-0.3100000000000023
60.0,60.0,0.0
53.0,53.0,0.0
27.0,28.0,-1.0
67.0,67.0,0.0
79.0,79.0,0.0
47.0,47.12,-0.11999999999999744
47.0,47.1,-0.10000000000000142
66.0,66.0,0.0
34.0,34.2,-0.20000000000000284
57.0,57.35,-0.3500000000000014
37.0,36.62,0.38000000000000256
85.0,84.96,0.04000000000000625
85.0,84.67,0.3299999999999983
70.0,70.04,-0.04000000000000625
67.0,67.0,0.0
46.0,46.28,-0.28000000000000114
52.0,51.98,0.020000000000003126
37.0,37.1,-0.10000000000000142
23.0,22.88,0.120000000000001
56.0,56.1,-0.10000000000000142
28.0,28.36,-0.35999999999999943
58.0,58.03,-0.030000000000001137
73.0,73.09,-0.09000000000000341
51.0,51.05,-0.04999999999999716
96.0,96.19,-0.18999999999999773
47.0,46.9,0.10000000000000142
59.0,59.14,-0.14000000000000057
86.0,86.47,-0.46999999999999886
74.0,74.01,-0.010000000000005116
58.0,58.01,-0.00999999999999801
44.0,44.31,-0.3100000000000023
44.0,44.04,-0.03999999999999915
73.0,73.0,0.0
62.0,62.02,-0.020000000000003126
36.0,35.91,0.09000000000000341
37.0,36.78,0.21999999999999886
50.0,50.01,-0.00999999999999801
82.0,82.0,0.0
50.0,49.97,0.030000000000001137
62.0,61.3,0.7000000000000028
56.0,56.01,-0.00999999999999801
64.0,63.98,0.020000000000003126
49.0,48.93,0.07000000000000028
55.0,54.98,0.020000000000003126
87.0,87.0,0.0
72.0,72.0,0.0
62.0,62.0,0.0
73.0,73.05,-0.04999999999999716
52.0,51.97,0.030000000000001137
40.0,40.04,-0.03999999999999915
38.0,37.71,0.28999999999999915
63.0,63.0,0.0
67.0,67.04,-0.04000000000000625
70.0,69.94,0.060000000000002274
23.0,23.03,-0.030000000000001137
53.0,53.23,-0.22999999999999687
64.0,63.97,0.030000000000001137
71.0,71.16,-0.1599999999999966
68.0,68.0,0.0
90.0,90.0,0.0
33.0,33.09,-0.09000000000000341
30.0,30.1,-0.10000000000000142
72.0,72.0,0.0
63.0,62.76,0.240000000000002
56.0,56.2,-0.20000000000000284
72.0,72.0,0.0
32.0,32.31,-0.3100000000000023
59.0,59.0,0.0
67.0,66.98,0.01999999999999602
59.0,58.95,0.04999999999999716
59.0,58.71,0.28999999999999915
58.0,57.24,0.759999999999998
88.0,88.0,0.0
80.0,79.92,0.0799999999999983
50.0,50.0,0.0
29.0,29.39,-0.39000000000000057
57.0,57.0,0.0
80.0,80.03,-0.030000000000001137
55.0,55.0,0.0
21.0,21.37,-0.370000000000001
42.0,41.61,0.39000000000000057
94.0,93.97,0.030000000000001137
73.0,73.0,0.0
63.0,63.0,0.0
22.0,36.16,-14.159999999999997
34.0,33.42,0.5799999999999983
51.0,50.9,0.10000000000000142
66.0,66.0,0.0
88.0,87.89,0.10999999999999943
68.0,67.97,0.030000000000001137
38.0,38.0,0.0
66.0,66.0,0.0
70.0,69.63,0.37000000000000455
56.0,55.95,0.04999999999999716
57.0,57.02,-0.020000000000003126
46.0,46.15,-0.14999999999999858
73.0,72.91,0.09000000000000341
61.0,61.0,0.0
74.0,74.31,-0.3100000000000023
68.0,68.0,0.0
68.0,68.0,0.0
63.0,63.22,-0.21999999999999886
36.0,36.11,-0.10999999999999943
92.0,91.98,0.01999999999999602
33.0,33.16,-0.1599999999999966
81.0,81.0,0.0
60.0,60.0,0.0
89.0,89.0,0.0
74.0,74.0,0.0
76.0,76.0,0.0
44.0,44.03,-0.030000000000001137
45.0,45.37,-0.36999999999999744
78.0,78.0,0.0
49.0,49.09,-0.09000000000000341
46.0,46.02,-0.020000000000003126
78.0,78.0,0.0
45.0,45.02,-0.020000000000003126
79.0,79.0,0.0
80.0,80.0,0.0
55.0,55.06,-0.060000000000002274
